ad_id,first_seen_date,snapshot_date,before,after
1857623524110338,20260302,20260403,(재)_수원_인플방문후기_체지방만쏙빼는(부산잇츠)_260220_off,(재)_수원_인플방문후기_체지방만쏙빼는(부산잇츠)_260220
1857623610157089,20260302,20260317,(재)_대구_인플방문후기_체지방만쏙빼는(부산잇츠)_260220,(재)_대구_인플방문후기_체지방만쏙빼는(부산잇츠)_260220_off
1857623610157089,20260302,20260403,(재)_대구_인플방문후기_체지방만쏙빼는(부산잇츠)_260220_off,(재)_대구_인플방문후기_체지방만쏙빼는(부산잇츠)_260220
1858081862078609,20260302,20260401,(재)_수원_진료셀프캠_주사형비만치료제 고민끝에 50대부부 -32kg_260225,(재)_수원_진료셀프캠_주사형비만치료제 고민끝에 50대부부 -32kg_260225_off
1858081862078609,20260302,20260403,(재)_수원_진료셀프캠_주사형비만치료제 고민끝에 50대부부 -32kg_260225_off,(재)_수원_진료셀프캠_주사형비만치료제 고민끝에 50대부부 -32kg_260225
1858084260708465,20260302,20260317,(재)_천안_진료셀프캠_주사형비만치료제 고민끝에 40대부부 -32kg_260225,(재)_천안_진료셀프캠_주사형비만치료제 고민끝에 40대부부 -32kg_260225_off
1858084260708465,20260302,20260403,(재)_천안_진료셀프캠_주사형비만치료제 고민끝에 40대부부 -32kg_260225_off,(재)_천안_진료셀프캠_주사형비만치료제 고민끝에 40대부부 -32kg_260225
1858084371013634,20260302,20260317,(재)_창원_진료셀프캠_주사형비만치료제 고민끝에 -32kg 가능했던_260225,(재)_창원_진료셀프캠_주사형비만치료제 고민끝에 -32kg 가능했던_260225_off
1858084371013634,20260302,20260403,(재)_창원_진료셀프캠_주사형비만치료제 고민끝에 -32kg 가능했던_260225_off,(재)_창원_진료셀프캠_주사형비만치료제 고민끝에 -32kg 가능했던_260225
1858358875899122,20260317,20260403,(재)_창원_진료셀프캠_주사형비만치료제 고민끝에 -32kg 가능했던_260225_off,(재)_창원_진료셀프캠_주사형비만치료제 고민끝에 -32kg 가능했던_260225
1858358875899970,20260317,20260403,(재)_창원_인플방문후기_체지방만쏙빼는(부산잇츠)_260220_off,(재)_창원_인플방문후기_체지방만쏙빼는(부산잇츠)_260220
1858358889552321,20260317,20260403,(재)_부평_인플방문후기_체지방만쏙빼는(부산잇츠)_260220_off,(재)_부평_인플방문후기_체지방만쏙빼는(부산잇츠)_260220
1858358889552897,20260317,20260401,(신)_부평_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120,(신)_부평_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120_off
1858358889552897,20260317,20260403,(신)_부평_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120_off,(신)_부평_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120
1858358889554017,20260317,20260401,(재)_수원_진료셀프캠_주사형비만치료제 고민끝에 50대부부 -32kg_260225,(재)_수원_진료셀프캠_주사형비만치료제 고민끝에 50대부부 -32kg_260225_off
1858358889554017,20260317,20260403,(재)_수원_진료셀프캠_주사형비만치료제 고민끝에 50대부부 -32kg_260225_off,(재)_수원_진료셀프캠_주사형비만치료제 고민끝에 50대부부 -32kg_260225
1858358889554033,20260317,20260403,(재)_수원_인플방문후기_체지방만쏙빼는(부산잇츠)_260220_off,(재)_수원_인플방문후기_체지방만쏙빼는(부산잇츠)_260220
1858358889557249,20260317,20260403,(신)_수원_의료진정보_주사형비만치료제 10년은_260116_off,(신)_수원_의료진정보_주사형비만치료제 10년은_260116
1858358889560241,20260317,20260403,(재)_대구_인플방문후기_체지방만쏙빼는(부산잇츠)_260220_off,(재)_대구_인플방문후기_체지방만쏙빼는(부산잇츠)_260220
1858358889564609,20260317,20260403,(재)_천안_진료셀프캠_주사형비만치료제 고민끝에 40대부부 -32kg_260225_off,(재)_천안_진료셀프캠_주사형비만치료제 고민끝에 40대부부 -32kg_260225
1858358889564625,20260317,20260403,(재)_천안_인플방문후기_체지방만쏙빼는(부산잇츠)_260220_off,(재)_천안_인플방문후기_체지방만쏙빼는(부산잇츠)_260220
1858358889565697,20260317,20260401,(신)_천안_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120,(신)_천안_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120_off
1858358889565697,20260317,20260403,(신)_천안_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120_off,(신)_천안_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120
1858358889565745,20260317,20260403,(신)_천안_진료셀프캠_다이어트 빼는 게 아니라 찾는 것_260123_off,(신)_천안_진료셀프캠_다이어트 빼는 게 아니라 찾는 것_260123
1858361825289345,20260317,20260403,(신)_서울_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120_off,(신)_서울_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120
1858361825289361,20260317,20260403,(신)_서울_의료진정보_주사형비만치료제 10년은_260116_off,(신)_서울_의료진정보_주사형비만치료제 10년은_260116
1858361825289377,20260317,20260403,"(신)_서울_의료진정보_다이어트의 적!밥,빵,면_251020_off","(신)_서울_의료진정보_다이어트의 적!밥,빵,면_251020"
1858362316758162,20260317,20260401,(신)_대구_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120,(신)_대구_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120_off
1858362316758162,20260317,20260403,(신)_대구_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120_off,(신)_대구_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120
1858362479794210,20260317,20260403,(신)_일산_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120_off,(신)_일산_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120
1858362479794226,20260317,20260403,(신)_일산_의료진정보_주사형비만치료제 10년은_260116_off,(신)_일산_의료진정보_주사형비만치료제 10년은_260116
1858362479795266,20260317,20260403,"(신)_일산_의료진정보_다이어트의 적!밥,빵,면_251208_off","(신)_일산_의료진정보_다이어트의 적!밥,빵,면_251208"
1858601502339202,20260317,20260403,(재)_서울_인플방문후기_맘껏 먹는 다이어트_260220_off,(재)_서울_인플방문후기_맘껏 먹는 다이어트_260220
1858601597995298,20260317,20260403,(재)_서울_인플방문후기_요요없는_260220_off,(재)_서울_인플방문후기_요요없는_260220
1858601730547025,20260317,20260403,(재)_부평_인플방문후기_맘껏 먹는 다이어트_260220_off,(재)_부평_인플방문후기_맘껏 먹는 다이어트_260220
1858601730547041,20260317,20260403,(재)_부평_인플방문후기_요요없는_260220_off,(재)_부평_인플방문후기_요요없는_260220
1858601873531921,20260317,20260403,(재)_수원_인플방문후기_맘껏 먹는 다이어트_260220_off,(재)_수원_인플방문후기_맘껏 먹는 다이어트_260220
1858601873531937,20260317,20260403,(재)_수원_인플방문후기_요요없는_260220_off,(재)_수원_인플방문후기_요요없는_260220
1858601954777185,20260317,20260403,(재)_일산_인플방문후기_요요없는_260220_off,(재)_일산_인플방문후기_요요없는_260220
1858602010463730,20260317,20260403,(재)_대구_인플방문후기_요요없는_260220_off,(재)_대구_인플방문후기_요요없는_260220
1858602010465282,20260317,20260403,(재)_대구_인플방문후기_맘껏 먹는 다이어트_260220_off,(재)_대구_인플방문후기_맘껏 먹는 다이어트_260220
1858602093511906,20260317,20260403,(재)_창원_방문후기_맘껏 먹는 다이어트_260220_off,(재)_창원_방문후기_맘껏 먹는 다이어트_260220
1858602093511922,20260317,20260403,(재)_창원_방문후기_요요없는_260220_off,(재)_창원_방문후기_요요없는_260220
1858602181340466,20260317,20260403,(재)_천안_인플방문후기_요요없는_260220_off,(재)_천안_인플방문후기_요요없는_260220
1858832885592114,20260317,20260403,(재)_서울_진료QnA_지긋지긋 40대 뱃살 고생없이_260306_off,(재)_서울_진료QnA_지긋지긋 40대 뱃살 고생없이_260306
1858832894864641,20260317,20260401,(재)_서울_인플방문후기_먹으면서(대읽남)_260306,(재)_서울_인플방문후기_먹으면서(대읽남)_260306_off
1858832894864641,20260317,20260403,(재)_서울_인플방문후기_먹으면서(대읽남)_260306_off,(재)_서울_인플방문후기_먹으면서(대읽남)_260306
1858833134333138,20260317,20260403,(재)_부평_인플방문후기_맘껏먹는 다이어트 한달후기_260306_off,(재)_부평_인플방문후기_맘껏먹는 다이어트 한달후기_260306
1858833134333154,20260317,20260403,(재)_부평_진료QnA_지긋지긋 40대 뱃살 고생없이_260306_off,(재)_부평_진료QnA_지긋지긋 40대 뱃살 고생없이_260306
1858833266453554,20260317,20260403,(재)_수원_진료QnA_지긋지긋 40대 뱃살 고생없이_260306_off,(재)_수원_진료QnA_지긋지긋 40대 뱃살 고생없이_260306
1858833266455554,20260317,20260403,(재)_수원_인플방문후기_먹으면서(대읽남)_260306_off,(재)_수원_인플방문후기_먹으면서(대읽남)_260306
1858833266455570,20260317,20260403,(재)_수원_인플방문후기_맘껏먹는 다이어트 한달후기_260306_off,(재)_수원_인플방문후기_맘껏먹는 다이어트 한달후기_260306
1858833441333345,20260317,20260403,(재)_일산_진료QnA_지긋지긋 40대 뱃살 고생없이_260306_off,(재)_일산_진료QnA_지긋지긋 40대 뱃살 고생없이_260306
1858833441333361,20260317,20260401,(재)_일산_인플방문후기_먹으면서(대읽남)_260306,(재)_일산_인플방문후기_먹으면서(대읽남)_260306_off
1858833441333361,20260317,20260403,(재)_일산_인플방문후기_먹으면서(대읽남)_260306_off,(재)_일산_인플방문후기_먹으면서(대읽남)_260306
1858833581846610,20260317,20260403,(재)_대구_진료QnA_지긋지긋 40대 뱃살 고생없이_260306_off,(재)_대구_진료QnA_지긋지긋 40대 뱃살 고생없이_260306
1858833581846626,20260317,20260401,(재)_대구_인플방문후기_맘껏먹는 다이어트 한달후기_260306,(재)_대구_인플방문후기_맘껏먹는 다이어트 한달후기_260306_off
1858833581846626,20260317,20260403,(재)_대구_인플방문후기_맘껏먹는 다이어트 한달후기_260306_off,(재)_대구_인플방문후기_맘껏먹는 다이어트 한달후기_260306
1858833707245585,20260317,20260403,(재)_창원_진료QnA_지긋지긋 40대 뱃살 고생없이_260306_off,(재)_창원_진료QnA_지긋지긋 40대 뱃살 고생없이_260306
1858833707245601,20260317,20260401,(재)_창원_인플방문후기_먹으면서(대읽남)_260306,(재)_창원_인플방문후기_먹으면서(대읽남)_260306_off
