캠페인 이름,광고 이름,광고 ID,일별,나이,비용,노출수,클릭수(목적지),CTR(목적지),전환수,전환당 비용,전환율(CVR),랜딩 페이지 조회(웹사이트),도달,통화
2604_다이트_전환캠페인,(신)_천안_의료진정보_주사형비만치료제 10년은_260116,1861279064396242,2026-04-08,AGE_35_44,817,133,1,0.75,0,0,0.0,0,125,KRW
2604_다이트_전환캠페인,(신)_천안_의료진정보_주사형비만치료제 10년은_260116,1861279064396242,2026-04-08,AGE_45_54,2298,200,0,0.0,0,0,0.0,0,187,KRW
2604_다이트_전환캠페인,(신)_천안_의료진정보_주사형비만치료제 10년은_260116,1861279064396242,2026-04-08,AGE_55_100,2448,187,2,1.07,0,0,0.0,0,180,KRW
2604_다이트_전환캠페인,(신)_천안_의료진정보_주사형비만치료제 10년은_260116,1861279064396242,2026-04-08,NONE,0,0,0,0.0,0,0,0.0,0,0,KRW
2603_다이트_전환캠페인,(신)_천안_의료진정보_주사형비만치료제 10년은_260116,1861074704982066,2026-04-08,NONE,0,0,0,0.0,0,0,0.0,0,0,KRW
2603_다이트_전환캠페인,(신)_천안_인플방문후기_더먹어야 다이어트 가능(더먹어유)_260313,1859538629607521,2026-04-08,NONE,0,0,0,0.0,0,0,0.0,0,0,KRW
2604_다이트_전환캠페인,(신)_천안_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861796395517250,2026-04-08,AGE_35_44,5857,521,5,0.96,0,0,0.0,0,444,KRW
2604_다이트_전환캠페인,(신)_천안_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861796395517250,2026-04-08,AGE_45_54,8141,546,3,0.55,0,0,0.0,0,478,KRW
2604_다이트_전환캠페인,(신)_천안_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861796395517250,2026-04-08,AGE_55_100,3886,247,3,1.21,0,0,0.0,0,214,KRW
2604_다이트_전환캠페인,(신)_천안_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861796395517250,2026-04-08,NONE,0,0,0,0.0,0,0,0.0,0,0,KRW
2603_다이트_전환캠페인,(신)_천안_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120,1858358889565697,2026-04-08,NONE,0,0,0,0.0,0,0,0.0,0,0,KRW
2604_다이트_전환캠페인,(재)_대구_의료진정보_무작정운동으로 팩폭_260406,1861709464313057,2026-04-08,AGE_35_44,1348,130,0,0.0,0,0,0.0,0,126,KRW
2604_다이트_전환캠페인,(재)_대구_의료진정보_무작정운동으로 팩폭_260406,1861709464313057,2026-04-08,AGE_45_54,2195,118,4,3.39,0,0,0.0,0,115,KRW
2604_다이트_전환캠페인,(재)_대구_의료진정보_무작정운동으로 팩폭_260406,1861709464313057,2026-04-08,AGE_55_100,1810,114,0,0.0,0,0,0.0,0,112,KRW
2604_다이트_전환캠페인,(재)_대구_의료진정보_무작정운동으로 팩폭_260406,1861709464313057,2026-04-08,NONE,25,1,0,0.0,0,0,0.0,0,0,KRW
2603_다이트_전환캠페인,(재)_대구_의료진정보_비만주사 굶는다이어트_260320,1860263658516898,2026-04-08,NONE,0,0,0,0.0,0,0,0.0,0,0,KRW
